average_num_frames,average_reward,max_reward,min_reward,mean_sparsity,median_sparsity,max_sparsity,min_sparsity,Punishment
609.2,3.1,5,0,264.8695652,150,575,7,0
252.3,255,50,0,41.36065574,20,216,1,0
383.2,622,400,-500,28.59701493,19,127,3,0
385,71,10,0,47.5308642,17,328,7,0
489.7,20,200,0,445.1818182,467,730,75,0
500,251,10,0,19.15708812,8,169,2,0
333.9,132.5,25,0,53,17,272,7,0
680.5,1368,500,0,32.4047619,25,152,1,0
544.2,237.3,21,0,44.24390244,35,216,5,1
223,170,50,0,50.68181818,33.5,185,1,1
209.6,2,1,0,69.86666667,56,147,21,1
596.2,150,250,0,271,253.5,595,9,1
637.3,136,30,0,63.0990099,38,369,7,1
527.4,528,600,0,28.97802198,16,90,2,1
